Vgs (V),Ids (A)
-1.5,1.02E-10
-1.3231,9.76E-11
-1.1462,9.40E-11
-0.9692,9.10E-11
-0.7923,8.93E-11
-0.6154,8.98E-11
-0.4385,9.16E-11
-0.2615,9.76E-11
-0.0846,1.09E-10
0.0923,1.29E-10
0.2692,2.34E-10
0.4462,2.13E-09
0.6231,1.72E-08
0.8,7.80E-08
0.9769,2.37E-07
1.1538,5.64E-07
1.3308,1.13E-06
1.5077,2.06E-06
1.6846,3.42E-06
1.8615,5.35E-06
2.038,8.01E-06
2.215,1.15E-05
2.392,1.59E-05
2.569,2.15E-05
2.746,2.82E-05
2.923,3.63E-05
3.1,4.59E-05
3.277,5.72E-05
3.454,7.02E-05
3.631,8.51E-05
3.808,1.02E-04
3.985,1.21E-04
4.162,1.42E-04
4.338,1.66E-04
4.515,1.92E-04
4.692,2.21E-04
4.869,2.53E-04
5.046,2.88E-04
5.223,3.26E-04
5.4,3.67E-04
5.577,4.11E-04
5.754,4.58E-04
5.931,5.10E-04
6.108,5.65E-04
6.285,6.23E-04
6.462,6.86E-04
6.638,7.52E-04
6.815,8.22E-04
6.992,8.97E-04
7.169,9.76E-04
7.346,0.00106
7.523,0.00115
7.7,0.00124
7.877,0.00133
8.054,0.00144
8.231,0.00154
8.408,0.00165
8.585,0.00176
8.762,0.00188
8.938,0.00201
9.115,0.00213
9.292,0.00226
9.469,0.0024
9.646,0.00254
9.823,0.00269
10,0.00284